pid,date,like_rate,mark_rate,is_comic,is_ai,is_Genshin,is_Honkai,comments,views,rank,top_cnt,date_diff_day
103114789,20221127,0.1340333539221742,0.2527133150975029,0,1,1,0,1,11333,46,0,1
103123629,20221127,0.068686124666237,0.11113157167848264,0,1,0,0,0,10861,24,0,1
103104815,20221127,0.1696605206932025,0.25195853446229327,0,1,1,0,2,12637,20,2,1
103096946,20221127,0.13138329094110743,0.18528663666601447,0,1,0,0,2,10222,19,0,2
103133384,20221127,0.13599846977811783,0.19510328997704668,0,1,0,0,0,5228,17,0,0
103103604,20221127,0.16477457022380798,0.24632778833232935,0,1,0,0,8,21581,16,0,1
103095963,20221127,0.09993521218011014,0.16666666666666666,0,1,0,0,1,12348,15,2,2
103139707,20221127,0.18894350192907353,0.3313778341525289,0,1,1,0,4,18921,14,0,0
103139657,20221127,0.0655663062037564,0.09641434262948208,0,1,0,0,4,8785,11,0,0
103100824,20221127,0.12448448013891904,0.24750379856739743,0,1,1,0,3,18428,10,0,2
103098068,20221127,0.18572671888598782,0.29730200174064403,0,1,1,0,6,11490,9,0,2
103126513,20221127,0.1565525383707202,0.24639905548996457,0,1,1,0,7,16940,7,0,1
103112806,20221127,0.2093654697491392,0.33818002951303494,0,1,1,0,13,50825,5,2,1
103096790,20221127,0.10428511995562335,0.17967919382425,0,1,1,0,8,43266,4,0,2
103106333,20221127,0.12369791666666667,0.1878063725490196,0,1,1,0,3,13056,23,0,1
103120853,20221127,0.23585730948678071,0.3658145412130638,0,1,1,0,6,20576,25,0,1
103110478,20221127,0.16705969964006454,0.3187290554797071,0,1,0,0,3,8057,45,0,1
103111161,20221127,0.17341716625237608,0.2691914022517912,0,1,0,0,3,6839,26,0,1
103124563,20221127,0.18263742865725444,0.28537098227696006,0,1,0,0,3,6658,42,0,1
103118680,20221127,0.06142117376294592,0.08616225546605294,0,1,0,0,2,6952,41,0,1
103115873,20221127,0.15623971024036878,0.278235100428054,0,1,1,0,0,6074,40,0,1
103123891,20221127,0.15071846726982438,0.26776654248713855,0,1,1,0,4,28185,39,0,1
103124184,20221127,0.05356747583560835,0.09414889692319044,0,1,0,0,6,13553,38,0,1
103097865,20221127,0.1404171161452715,0.21664868752247393,0,1,1,0,2,11124,37,2,2
103142895,20221127,0.1898967029857082,0.3198669874062544,0,1,1,0,1,14134,36,0,0
103114903,20221127,0.16602703153679294,0.27582179209077257,0,1,1,0,0,5993,34,0,1
103108948,20221127,0.14069223573433115,0.21440598690364826,0,1,0,0,2,5345,32,0,1
103103077,20221127,0.25585603699607923,0.37910927917965215,0,1,1,0,4,9947,31,0,1
103105032,20221127,0.16236003445305772,0.25775193798449614,0,1,0,0,3,4644,27,0,1
103094714,20221127,0.14188584719985686,0.19448917516550368,0,0,0,0,6,11178,44,0,2
103106943,20221127,0.049364874912297234,0.06718817086069136,0,0,0,0,49,95493,11,2,1
103106186,20221127,0.037312440837042556,0.03279289440293247,1,0,0,0,0,248255,9,2,1
103110445,20221127,0.04564946352727934,0.05415417542440356,1,0,0,0,602,390607,1,2,1
103094796,20221127,0.023140299262533765,0.025374680426278974,1,0,0,0,538,664166,2,2,2
103097629,20221127,0.09233169239360701,0.11406250948446975,0,0,0,0,37,329486,3,2,2
103094840,20221127,0.17874578031680083,0.2241495715398598,0,0,0,0,30,77020,5,2,2
103094732,20221127,0.17052730464018195,0.24412251860275394,0,0,0,0,71,121353,6,2,2
103113745,20221127,0.03945506934846733,0.04852240186334574,1,0,0,0,50,673627,7,2,1
